COM Travel objective,COM turning objective (YAW),EE collision objective,EE height objective (stance),EE height objective (swing),EE position objective,Fixed wheels objective,GRF 0 in swing constraint,GRF friction constraints,GRF is positive constraint,GRF stance regularizer,Passive wheels (w/o friction),Total energy,feet sliding objective,foot path smoothness objective,force acceleration objective,joint angle bound constraint,joint angle velocity constraint,periodic body orientations (PITCH),periodic body orientations (ROLL),periodic joint angles,periodic wheel speed,robot COM objective,robot COM orientations objective,robot EE objective,robot body orientation regularizer objective (PITCH),robot body orientation regularizer objective (ROLL),robot body orientation regularizer objective (YAW),robot joint angles regularizer objective,robot joint angles regularizer objective (non-limb),robot smooth body orientation trajectories,robot smooth joint angle trajectories,robot smooth joint angles objective (non-limb),robot stance leg smooth joint angle trajectories,robot stance legs motion regularizer,robot wheel axis objective,smoothCOM,torque angular acceleration objective,wheel angle smooth regularizer,wheel speed bound constraint,wheel speed smooth regularizer,
9.56155e-08,0,0,0.000146205,0,1.17979e-08,1.19517,9.60462e-08,0,5.13711e-08,0.000262981,0.000102564,0,2.7803e-05,0,1.08528e-06,0,1.6785e-05,0,9.24152e-08,3.51934e-10,0.000357692,1.8959e-09,3.97097e-05,0,4.16828e-05,0.000160562,0.00114216,0.00036833,0.00904108,0,0.00163744,0.00218101,0.000974058,0.0155973,5.43308e-05,0,0,0,0,0,
9.56542e-08,0,0,0.000146206,0,1.17984e-08,1.19517,9.60079e-08,0,5.13643e-08,0.000262917,0.000102564,0,2.78027e-05,0,1.08518e-06,0,1.67931e-05,0,9.24171e-08,3.51832e-10,0.000357694,1.89631e-09,3.97093e-05,0,4.16979e-05,0.000160556,0.00114219,0.000368301,0.00904091,0,0.00163743,0.00218115,0.000974083,0.0155974,5.43313e-05,0,0,0,0,0,
9.56795e-08,0,0,0.000146206,0,1.17986e-08,1.19516,9.59799e-08,0,5.13594e-08,0.000262872,0.000102564,0,2.78025e-05,0,1.0851e-06,0,1.6798e-05,0,9.24183e-08,3.5177e-10,0.000357695,1.89658e-09,3.9709e-05,0,4.17082e-05,0.000160552,0.00114221,0.00036828,0.00904079,0,0.00163742,0.00218124,0.000974107,0.0155974,5.43316e-05,0,0,0,0,0,
9.56963e-08,0,0,0.000146206,0,1.17988e-08,1.19516,9.59602e-08,0,5.13558e-08,0.00026284,0.000102564,0,2.78024e-05,0,1.08504e-06,0,1.68011e-05,0,9.2419e-08,3.51733e-10,0.000357696,1.89676e-09,3.97088e-05,0,4.17151e-05,0.000160549,0.00114223,0.000368264,0.0090407,0,0.00163741,0.00218131,0.000974127,0.0155975,5.43318e-05,0,0,0,0,0,
9.57076e-08,0,0,0.000146206,0,1.1799e-08,1.19515,9.59439e-08,0,5.13532e-08,0.000262817,0.000102563,0,2.78022e-05,0,1.08499e-06,0,1.6803e-05,0,9.24193e-08,3.51711e-10,0.000357696,1.89687e-09,3.97087e-05,0,4.17199e-05,0.000160547,0.00114224,0.000368252,0.00904064,0,0.0016374,0.00218137,0.000974142,0.0155975,5.4332e-05,0,0,0,0,0,
9.57154e-08,0,0,0.000146206,0,1.17991e-08,1.19515,9.5933e-08,0,5.13512e-08,0.0002628,0.000102563,0,2.78021e-05,0,1.08496e-06,0,1.68042e-05,0,9.24196e-08,3.51699e-10,0.000357697,1.89695e-09,3.97085e-05,0,4.17232e-05,0.000160546,0.00114225,0.000368244,0.00904059,0,0.00163739,0.00218141,0.000974154,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
9.57207e-08,0,0,0.000146205,0,1.17992e-08,1.19515,9.59251e-08,0,5.13498e-08,0.000262788,0.000102563,0,2.78021e-05,0,1.08493e-06,0,1.6805e-05,0,9.24197e-08,3.51693e-10,0.000357697,1.897e-09,3.97085e-05,0,4.17254e-05,0.000160545,0.00114226,0.000368238,0.00904056,0,0.00163739,0.00218143,0.000974162,0.0155975,5.43321e-05,0,0,0,0,0,
